,OBS,Area,Month,Year
121,5144.601392759258,Europe,Sep,2013.0
122,4729.657216049435,European Union,Sep,2013.0
123,527.5474338722737,Other EU,Sep,2013.0
124,4202.944308960846,EU15,Sep,2013.0
125,906.051009421534,Other countries,Sep,2013.0
126,343.80511830066683,North America,Oct,2013.0
127,3790.384645694478,Europe,Oct,2013.0
128,3514.2568973114426,European Union,Oct,2013.0
129,445.7542072217712,Other EU,Oct,2013.0
130,3067.836648537571,EU15,Oct,2013.0
131,719.6518013303545,Other countries,Oct,2013.0
132,256.26564137263614,North America,Nov,2013.0
133,2602.738113864406,Europe,Nov,2013.0
134,2434.8144536254067,European Union,Nov,2013.0
135,292.77798688562734,Other EU,Nov,2013.0
136,2142.0076785878964,EU15,Nov,2013.0
137,698.9647268265257,Other countries,Nov,2013.0
138,196.92924032669708,North America,Dec,2013.0
139,2348.8772404411156,Europe,Dec,2013.0
140,2163.9286490631516,European Union,Dec,2013.0
141,233.4678058926014,Other EU,Dec,2013.0
142,1931.1556728745322,EU15,Dec,2013.0
143,592.3834718431198,Other countries,Dec,2013.0
144,237.78926265324876,North America,Jan,2014.0
145,2578.660387871217,Europe,Jan,2014.0
146,2335.6930454521894,European Union,Jan,2014.0
147,308.5799747820153,Other EU,Jan,2014.0
148,2025.9727226663958,EU15,Jan,2014.0
149,904.3989040102292,Other countries,Jan,2014.0
150,154.79593966545977,North America,Feb,2014.0
151,2528.9992655028987,Europe,Feb,2014.0
152,2301.5162789362585,European Union,Feb,2014.0
153,229.92672356114304,Other EU,Feb,2014.0
154,2072.9906175690876,EU15,Feb,2014.0
155,698.66676532606,Other countries,Feb,2014.0
156,226.22461968129164,North America,Mar,2014.0
157,2541.6789906258773,Europe,Mar,2014.0
158,2383.5417846115483,European Union,Mar,2014.0
159,288.3852566568409,Other EU,Mar,2014.0
160,2094.8958137645127,EU15,Mar,2014.0
161,768.8150686637109,Other countries,Mar,2014.0
162,322.9199737552063,North America,Apr,2014.0
163,3713.416216002062,Europe,Apr,2014.0
164,3441.4393477606063,European Union,Apr,2014.0
165,380.274540676853,Other EU,Apr,2014.0
166,3061.241357806312,EU15,Apr,2014.0
167,959.7319620292463,Other countries,Apr,2014.0
168,288.90093406306437,North America,May,2014.0
169,4541.931364069506,Europe,May,2014.0
170,4266.068010062628,European Union,May,2014.0
171,416.8921501762529,Other EU,May,2014.0
172,3849.027998723414,EU15,May,2014.0
173,824.271031087029,Other countries,May,2014.0
174,330.13052118172783,North America,June,2014.0
175,5074.502561928436,Europe,June,2014.0
176,4740.437968176741,European Union,June,2014.0
177,516.1482791468939,Other EU,June,2014.0
178,4224.3609994702565,EU15,June,2014.0
179,648.5757898837277,Other countries,June,2014.0
180,292.94392980116424,North America,July,2014.0
181,5092.696519816771,Europe,July,2014.0
182,4813.58808389181,European Union,July,2014.0
183,564.4099309220117,Other EU,July,2014.0
184,4249.084050294217,EU15,July,2014.0
185,611.4202151132059,Other countries,July,2014.0
186,458.3718626141691,North America,Aug,2014.0
187,6567.042401221717,Europe,Aug,2014.0
188,6142.276625652586,European Union,Aug,2014.0
189,717.0304309076784,Other EU,Aug,2014.0
190,5425.187155891263,EU15,Aug,2014.0
191,950.0412841339521,Other countries,Aug,2014.0
192,452.5775505846665,North America,Sept,2014.0
193,5177.949507961556,Europe,Sept,2014.0
194,4778.607302455631,European Union,Sept,2014.0
195,547.491908170309,Other EU,Sept,2014.0
196,4231.268535814542,EU15,Sept,2014.0
197,923.7867797528421,Other countries,Sept,2014.0
198,445.07945189138536,North America,Oct,2014.0
199,4042.0566416011097,Europe,Oct,2014.0
200,3779.9699378034115,European Union,Oct,2014.0
201,494.2556853923193,Other EU,Oct,2014.0
202,3286.8411898122913,EU15,Oct,2014.0
203,810.0205040103377,Other countries,Oct,2014.0
204,255.0871793330973,North America,Nov,2014.0
205,2806.5443252207447,Europe,Nov,2014.0
206,2630.6402495330344,European Union,Nov,2014.0
207,318.789182872288,Other EU,Nov,2014.0
208,2311.2579634886415,EU15,Nov,2014.0
209,662.6789902918994,Other countries,Nov,2014.0
210,211.88758877551587,North America,Dec,2014.0
211,2359.876630178168,Europe,Dec,2014.0
212,2220.397150663552,European Union,Dec,2014.0
213,268.46717173539224,Other EU,Dec,2014.0
214,1951.3961446990538,EU15,Dec,2014.0
215,617.4117266977634,Other countries,Dec,2014.0
216,236.37292161386634,North America,Jan†,2015.0
217,2684.3025271361785,Europe,Jan†,2015.0
218,2467.6200828364663,European Union,Jan†,2015.0
219,385.31178391372066,Other EU,Jan†,2015.0
220,2086.470709466961,EU15,Jan†,2015.0
221,982.3149823023796,Other countries,Jan†,2015.0
222,190.83542695234647,North America,Feb,2015.0
223,2554.0011317873123,Europe,Feb,2015.0
224,2370.61446321157,European Union,Feb,2015.0
225,267.55681036885665,Other EU,Feb,2015.0
226,2101.940611430321,EU15,Feb,2015.0
227,690.8336420031941,Other countries,Feb,2015.0
228,177.9626723687295,North America,Mar,2015.0
229,3143.38336718345,Europe,Mar,2015.0
